pedestrian_id,location,gender,age_group,crowd_density,weather,time_period,n_points_valid,duration_s,path_length_m,displacement_m,straightness,traj_avg_speed_ms,base_speed_ms,stop_count,stop_rate_per_s,direction_change,direction_change_rate
E00001,E,남성,20대,높음,흐림,낮,10.0,9.0,10.000081698080383,10.000018151385811,0.9999936453824588,1.1111201886755981,1.4185714285714286,0.0,0.0,3.0,0.3333333333333333
E00002,E,남성,30대,높음,흐림,낮,10.0,9.0,7.33675786432737,7.336730854310501,0.9999963185350574,0.8151953182585967,1.42,1.0,0.1111111111111111,0.0,0.0
E00003,E,남성,20대,높음,흐림,낮,10.0,9.0,8.590768699977119,8.590768699977119,1.0,0.9545298555530132,1.2842857142857145,3.0,0.3333333333333333,1.0,0.1111111111111111
E00004,E,남성,10대,높음,흐림,낮,10.0,9.0,8.59091882472937,8.590899577741062,0.9999977596123651,0.954546536081041,1.4214285714285713,2.0,0.2222222222222222,0.0,0.0
E00005,E,남성,20대,높음,흐림,낮,10.0,9.0,8.85158233641925,8.85155000668918,0.9999963475761914,0.9835091484910278,1.4271428571428573,0.0,0.0,0.0,0.0
E00006,E,남성,30대,높음,흐림,낮,10.0,9.0,8.92571051815231,8.92562926136915,0.9999908963232679,0.9917456131280346,1.4114285714285717,0.0,0.0,0.0,0.0
E00007,E,여성,60대 이상,높음,흐림,낮,10.0,9.0,10.000040952730018,10.000016114478115,0.9999975161849816,1.1111156614144464,0.7471428571428572,0.0,0.0,0.0,0.0
E00008,E,남성,10대,높음,흐림,낮,10.0,9.0,8.508613883415169,8.508493819546754,0.999985889138929,0.9454015426016854,1.4271428571428573,1.0,0.1111111111111111,0.0,0.0
E00009,E,여성,10대,높음,흐림,낮,10.0,9.0,9.035632772045755,9.035580084081449,0.9999941688683421,1.0039591968939727,1.42,3.0,0.3333333333333333,0.0,0.0
E00010,E,여성,40대,높음,흐림,낮,10.0,9.0,10.000042469611738,10.0000096050828,0.9999967135610636,1.1111158299568598,0.762857142857143,3.0,0.3333333333333333,0.0,0.0
E00011,E,여성,40대,높음,흐림,낮,10.0,9.0,8.764612561091022,8.764550184182985,0.9999928830957898,0.9738458401212247,1.23,1.0,0.1111111111111111,0.0,0.0
E00012,E,여성,40대,높음,흐림,낮,10.0,9.0,7.8323283505173125,7.832279221351934,0.9999937273869046,0.8702587056130348,1.4285714285714286,2.0,0.2222222222222222,0.0,0.0
E00013,E,남성,10대,높음,흐림,낮,10.0,9.0,10.000019788183867,10.000000002500943,0.9999980214356229,1.1111133097982073,1.4214285714285713,0.0,0.0,0.0,0.0
E00014,E,남성,40대,높음,흐림,낮,10.0,9.0,10.000040039927741,10.000001423179604,0.9999961383406484,1.1111155599919713,1.422857142857143,2.0,0.2222222222222222,0.0,0.0
E00015,E,여성,40대,높음,흐림,낮,10.0,9.0,10.000035448942091,10.000007456913806,0.9999972008070944,1.1111150498824545,1.2557142857142856,2.0,0.2222222222222222,0.0,0.0
E00016,E,남성,50대,높음,흐림,낮,10.0,9.0,8.080025402959864,8.080011613442528,0.9999982933819328,0.8977806003288737,1.1542857142857144,0.0,0.0,1.0,0.1111111111111111
