behavior,straightness,stop_rate,direction_change_rate,traj_avg_speed,path_length,displacement
zigzag,0.3604139792878589,0.10736374477141422,0.6815201312730998,1.2131918684180907,11.428327350459815,3.685327323424218
zigzag,0.1136089759670581,0.13568612939089203,0.6241022768675887,0.9768411434231467,10.893720385078009,2.9252463579049817
zigzag,0.10738056251075617,0.07792751021221472,0.4525121194445456,1.02193539590669,8.150553414414556,3.751215136015372
zigzag,0.3877730839372935,0.09598128567627205,0.547262849284989,1.3750119168838082,9.518046335466476,3.3891423117265256
zigzag,0.10940977859068479,0.0977291559701963,0.706348640674416,1.2533280164064482,10.60868951881981,2.377651006819722
zigzag,0.3837394328208149,0.0769710171773327,0.6312096664263859,1.0811160880589097,11.635109459057677,4.834177569003915
zigzag,0.2592576904682359,0.056612233870913235,0.6487479158968869,0.8487673437022186,11.887813544106008,2.27986503575343
zigzag,0.12106957270094798,0.0738630178590996,0.5168300590737935,1.372124506332019,8.57556504225176,4.566821267858856
zigzag,0.3659813160333445,0.14211876276701202,0.5919020534851975,1.122586154564528,10.02408007463739,2.252905602183356
zigzag,0.36249292524741317,0.06707671863619466,0.629809523095858,1.2461185239356352,10.467984410568917,2.281348792288382
zigzag,0.217195337825509,0.06763570643414898,0.652219445418843,1.3969182218311924,11.616336929749904,4.961881590522571
zigzag,0.3159769502200326,0.06728512387138658,0.7346070152641664,0.9692432615858764,11.605811094782213,4.458672839860674
zigzag,0.24820968110345995,0.10398924409599516,0.6931754546166919,1.3212095297861914,11.466354262593747,3.264890879676818
zigzag,0.29020098807151784,0.09871247257857149,0.735076374654208,0.9016438900707137,9.996702592870383,3.706639689603696
zigzag,0.37958636039109805,0.11735525946243665,0.6038309678085895,1.1333679107670682,8.154689044517976,2.8379293288347935
zigzag,0.14454490892066946,0.09820924711057441,0.6568953203356055,0.9409570478074624,10.127545921107748,3.31725508964605
zigzag,0.2873982230401366,0.12672193223795658,0.6427752852795723,1.2468116240963592,9.815977245172826,4.7198237348386245
